unidade;ano;mes;setor_centro_custo;exames_img;exame_img_por_paciente;exames_lab;exame_lab_por_paciente
CHPB;2024,0;6,0;UIP-MASCULINA/CHPB/CHB;3,0;0,5;42,0;7,0
CHPB;2024,0;6,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;2,0;;282,0;
CHPB;2024,0;7,0;UIP-MASCULINA/CHPB/CHB;15,0;0,75;433,0;21,65
CHPB;2024,0;7,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;22,0;1,1578947368421053;1265,0;66,57894736842105
CHPB;2024,0;8,0;LAR INCLUSIVO A/CHPB/CHB;3,0;;31,0;
CHPB;2024,0;8,0;LAR INCLUSIVO B/CHPB/CHB;7,0;;28,0;
CHPB;2024,0;8,0;UIP-FEMININA/CHPB/CHB;2,0;0,15384615384615385;291,0;22,384615384615383
CHPB;2024,0;8,0;UIP-MASCULINA/CHPB/CHB;7,0;0,4666666666666667;311,0;20,733333333333334
CHPB;2024,0;8,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;17,0;1,0625;897,0;56,0625
CHPB;2024,0;9,0;LAR INCLUSIVO A/CHPB/CHB;5,0;;15,0;
CHPB;2024,0;9,0;UIP-FEMININA/CHPB/CHB;6,0;2,0;127,0;42,333333333333336
CHPB;2024,0;9,0;UIP-MASCULINA/CHPB/CHB;19,0;0,9047619047619048;375,0;17,857142857142858
CHPB;2024,0;9,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;10,0;0,8333333333333334;678,0;56,5
CHPB;2024,0;10,0;LAR INCLUSIVO A/CHPB/CHB;5,0;;21,0;
CHPB;2024,0;10,0;LAR INCLUSIVO B/CHPB/CHB;2,0;;26,0;
CHPB;2024,0;10,0;UIP-FEMININA/CHPB/CHB;4,0;0,2857142857142857;269,0;19,214285714285715
CHPB;2024,0;10,0;UIP-MASCULINA/CHPB/CHB;8,0;0,47058823529411764;320,0;18,823529411764707
CHPB;2024,0;10,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;27,0;0,9642857142857143;913,0;32,607142857142854
CHPB;2024,0;11,0;LAR INCLUSIVO B/CHPB/CHB;1,0;1,0;134,0;134,0
CHPB;2024,0;11,0;UIP-FEMININA/CHPB/CHB;11,0;0,9166666666666666;409,0;34,083333333333336
CHPB;2024,0;11,0;UIP-MASCULINA/CHPB/CHB;2,0;0,09090909090909091;314,0;14,272727272727273
CHPB;2024,0;11,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;8,0;0,4;622,0;31,1
CHPB;2024,0;12,0;LAR INCLUSIVO A/CHPB/CHB;2,0;;1,0;
CHPB;2024,0;12,0;LAR INCLUSIVO B/CHPB/CHB;2,0;;59,0;
CHPB;2024,0;12,0;UIP-FEMININA/CHPB/CHB;5,0;0,7142857142857143;216,0;30,857142857142858
CHPB;2024,0;12,0;UIP-MASCULINA/CHPB/CHB;8,0;0,4444444444444444;301,0;16,72222222222222
CHPB;2024,0;12,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;15,0;1,1538461538461537;436,0;33,53846153846154
CHPB;2025,0;1,0;CAC/CHPB/CHB;1,0;;2,0;
CHPB;2025,0;1,0;UIP-FEMININA/CHPB/CHB;4,0;0,4444444444444444;187,0;20,77777777777778
CHPB;2025,0;1,0;UIP-MASCULINA/CHPB/CHB;11,0;0,4230769230769231;357,0;13,73076923076923
CHPB;2025,0;1,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;11,0;0,6470588235294118;848,0;49,88235294117647
CHPB;2025,0;2,0;UIP-FEMININA/CHPB/CHB;4,0;0,2857142857142857;380,0;27,142857142857142
CHPB;2025,0;2,0;UIP-MASCULINA/CHPB/CHB;17,0;0,8947368421052632;356,0;18,736842105263158
CHPB;2025,0;2,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;14,0;0,8235294117647058;717,0;42,1764705882353
CHPB;2025,0;3,0;CAC/CHPB/CHB;1,0;;4,0;
CHPB;2025,0;3,0;LAR INCLUSIVO A/CHPB/CHB;5,0;;10,0;
CHPB;2025,0;3,0;LAR INCLUSIVO B/CHPB/CHB;2,0;;7,0;
CHPB;2025,0;3,0;UIP-FEMININA/CHPB/CHB;7,0;0,6363636363636364;235,0;21,363636363636363
CHPB;2025,0;3,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;29,0;1,9333333333333333;642,0;42,8
CHPB;2025,0;4,0;CAC/CHPB/CHB;1,0;;54,0;
CHPB;2025,0;4,0;UIP-FEMININA/CHPB/CHB;8,0;1,0;228,0;28,5
CHPB;2025,0;4,0;UIP-MASCULINA/CHPB/CHB;23,0;1,4375;401,0;25,0625
CHPB;2025,0;4,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;23,0;1,4375;389,0;24,3125
CHPB;2025,0;5,0;LAR INCLUSIVO B/CHPB/CHB;2,0;;24,0;
CHPB;2025,0;5,0;UIP-FEMININA/CHPB/CHB;10,0;0,8333333333333334;300,0;25,0
CHPB;2025,0;5,0;UIP-MASCULINA/CHPB/CHB;7,0;0,4375;337,0;21,0625
CHPB;2025,0;5,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;14,0;0,5833333333333334;563,0;23,458333333333332
CHPB;2025,0;6,0;LAR INCLUSIVO B/CHPB/CHB;2,0;;17,0;
CHPB;2025,0;6,0;UIP-FEMININA/CHPB/CHB;12,0;1,5;313,0;39,125
CHPB;2025,0;6,0;UIP-MASCULINA/CHPB/CHB;20,0;1,1111111111111112;554,0;30,77777777777778
CHPB;2025,0;6,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;19,0;0,95;626,0;31,3
CHPB;2025,0;7,0;LAR INCLUSIVO B/CHPB/CHB;1,0;;11,0;
CHPB;2025,0;7,0;UIP-FEMININA/CHPB/CHB;5,0;0,4166666666666667;357,0;29,75
CHPB;2025,0;7,0;UIP-MASCULINA/CHPB/CHB;11,0;0,6111111111111112;338,0;18,77777777777778
CHPB;2025,0;7,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;20,0;0,6896551724137931;998,0;34,41379310344828
CHPB;2025,0;8,0;LAR INCLUSIVO B/CHPB/CHB;2,0;;16,0;
CHPB;2025,0;8,0;UIP-FEMININA/CHPB/CHB;3,0;0,375;213,0;26,625
CHPB;2025,0;8,0;UIP-MASCULINA/CHPB/CHB;2,0;0,15384615384615385;228,0;17,53846153846154
CHPB;2025,0;8,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;23,0;1,2777777777777777;970,0;53,888888888888886
CHPB;2025,0;9,0;LAR INCLUSIVO A/CHPB/CHB;13,0;13,0;106,0;106,0
CHPB;2025,0;9,0;UIP-FEMININA/CHPB/CHB;6,0;1,5;164,0;41,0
CHPB;2025,0;9,0;UIP-MASCULINA/CHPB/CHB;6,0;0,4;335,0;22,333333333333332
CHPB;2025,0;9,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;20,0;1,5384615384615385;920,0;70,76923076923077
CHPB;2025,0;10,0;CAC/CHPB/CHB;1,0;;47,0;
CHPB;2025,0;10,0;UIP-FEMININA/CHPB/CHB;11,0;1,8333333333333333;327,0;54,5
CHPB;2025,0;10,0;UIP-MASCULINA/CHPB/CHB;9,0;0,6428571428571429;290,0;20,714285714285715
CHPB;2025,0;10,0;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;16,0;0,8;1095,0;54,75
CHPB;2025,0;11,0;CAC/CHPB/CHB;2,0;;98,0;
